Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,nbAttempt
org/bukkit/event/inventory/InventoryCloseEvent,true,16,100,true,0,NA,1
org/bukkit/event/inventory/InventoryInteractEvent,true,34,215,true,0,NA,1
org/bukkit/event/EventHandler,true,4,62,true,0,NA,1
org/bukkit/event/server/RemoteServerCommandEvent,true,12,88,true,0,NA,1
org/bukkit/event/server/ServerEvent,true,0,14,true,0,NA,1
org/bukkit/event/server/ServiceEvent,true,6,104,true,0,NA,1
org/bukkit/event/server/PluginDisableEvent,true,12,79,true,0,NA,1
org/bukkit/event/server/ServiceRegisterEvent,true,13,91,true,0,NA,1
org/bukkit/event/server/PluginEnableEvent,true,12,79,true,0,NA,1
org/bukkit/event/server/ServiceUnregisterEvent,true,13,91,true,0,NA,1
org/bukkit/event/server/MapInitializeEvent,true,19,124,true,0,NA,1
org/bukkit/event/server/ServerCommandEvent,true,25,214,true,0,NA,1
org/bukkit/event/server/ServerListPingEvent,true,32,689,true,0,NA,1
org/bukkit/event/server/PluginEvent,true,6,68,true,0,NA,1
org/bukkit/event/Listener,true,0,0,true,0,NA,1
org/bukkit/event/entity/EntityPortalExitEvent,true,24,259,true,0,NA,1
org/bukkit/event/entity/CreatureSpawnEvent,true,164,875,true,0,NA,1
org/bukkit/event/entity/EntityTeleportEvent,true,45,339,true,0,NA,1
org/bukkit/event/entity/ItemDespawnEvent,true,39,220,true,0,NA,1
org/bukkit/event/entity/ProjectileHitEvent,true,17,102,true,0,NA,1
org/bukkit/event/entity/EntityCombustByBlockEvent,true,7,86,true,0,NA,1
org/bukkit/event/entity/EntityTameEvent,true,37,220,true,0,NA,1
org/bukkit/event/entity/SheepRegrowWoolEvent,true,23,190,true,0,NA,1
org/bukkit/event/entity/EntityCreatePortalEvent,true,48,306,true,0,NA,1
org/bukkit/event/entity/EntityTargetEvent,true,105,567,true,0,NA,1
org/bukkit/event/entity/PlayerLeashEntityEvent,true,53,299,true,0,NA,1
org/bukkit/event/entity/ProjectileLaunchEvent,true,30,166,true,0,NA,1
org/bukkit/event/entity/PlayerDeathEvent,true,108,739,true,0,NA,1
org/bukkit/event/entity/EntityRegainHealthEvent,true,91,639,true,0,NA,1
org/bukkit/event/entity/EntityTargetLivingEntityEvent,true,7,116,true,0,NA,1
org/bukkit/event/entity/EntityShootBowEvent,true,50,362,true,0,NA,1
org/bukkit/event/entity/CreeperPowerEvent,true,64,406,true,0,NA,1
org/bukkit/event/entity/EntityBreakDoorEvent,true,5,66,true,0,NA,1
org/bukkit/event/entity/EntityDeathEvent,true,35,318,true,0,NA,1
org/bukkit/event/entity/EntityUnleashEvent,true,46,243,true,0,NA,1
org/bukkit/event/entity/HorseJumpEvent,true,34,256,true,0,NA,1
org/bukkit/event/entity/EntityEvent,true,13,98,true,0,NA,1
org/bukkit/event/entity/EntityInteractEvent,true,33,197,true,0,NA,1
