,Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,Compilo,Match
9870,Bukkit/eclipse/org/bukkit/Sound,True,0.0,2539.0,True,0.0,True,JADX-0.9.0,20.0
9871,Bukkit/eclipse/org/bukkit/UnsafeValues,True,3.0,85.0,True,0.0,,JADX-0.9.0,2.0
9872,Bukkit/eclipse/org/bukkit/NetherWartsState,True,0.0,69.0,True,0.0,,JADX-0.9.0,24.0
9873,Bukkit/eclipse/org/bukkit/Instrument,True,49.0,336.0,False,,False,JADX-0.9.0,8.0
9874,Bukkit/eclipse/org/bukkit/ChunkSnapshot,True,8.0,163.0,True,0.0,,JADX-0.9.0,14.0
9875,scribejava/javac/org/scribe/utils/OAuthEncoder,True,52.0,686.0,False,,False,Krakatau,3183.0
9876,scribejava/javac/org/scribe/utils/StreamUtils,True,18.0,306.0,True,9.0,True,Krakatau,3182.0
9877,scribejava/javac/org/scribe/utils/MapUtils,True,52.0,283.0,False,,False,Krakatau,3181.0
9878,scribejava/javac/org/scribe/utils/Preconditions,True,49.0,534.0,True,40.0,True,Krakatau,3184.0
9879,scribejava/javac/org/scribe/model/OAuthRequest,True,99.0,481.0,False,,False,Krakatau,3256.0
9880,scribejava/javac/org/scribe/model/Parameter,True,85.0,526.0,True,48.0,True,Krakatau,3257.0
9881,scribejava/javac/org/scribe/model/SignatureType,True,99.0,43.0,False,,False,Krakatau,3262.0
9882,scribejava/javac/org/scribe/model/ParameterList,True,181.0,1301.0,False,,False,Krakatau,3255.0
9883,scribejava/javac/org/scribe/model/Request,True,477.0,3014.0,False,,False,Krakatau,3265.0
9884,scribejava/javac/org/scribe/model/Verb,True,204.0,108.0,False,,False,Krakatau,3263.0
9885,scribejava/javac/org/scribe/model/RequestTuner,True,4.0,21.0,True,0.0,,Krakatau,3259.0
9886,scribejava/javac/org/scribe/model/Response,True,116.0,822.0,False,,False,Krakatau,3254.0
9887,scribejava/javac/org/scribe/model/OAuthConstants,True,10.0,207.0,True,0.0,,Krakatau,3260.0
9888,scribejava/javac/org/scribe/model/OAuthConfig,True,65.0,562.0,True,30.0,True,Krakatau,3258.0
9889,scribejava/javac/org/scribe/model/Verifier,True,3.0,93.0,True,0.0,,Krakatau,3264.0
9890,scribejava/javac/org/scribe/model/Token,True,129.0,779.0,True,68.0,True,Krakatau,3261.0
9891,scribejava/javac/org/scribe/extractors/AccessTokenExtractor,True,2.0,9.0,True,0.0,,Krakatau,3195.0
9892,scribejava/javac/org/scribe/extractors/HeaderExtractorImpl,True,83.0,622.0,False,,False,Krakatau,3191.0
9893,scribejava/javac/org/scribe/extractors/BaseStringExtractor,True,2.0,9.0,True,0.0,,Krakatau,3189.0
