Class,CFR-0.141,Dava-3.3.0,Fernflower,JADX-0.9.0,JD-Core-1.0.0,JD-GUI-1.4.1,Jode-1.1.2-pre1,Krakatau,Procyon-0.5.34
Bukkit/eclipse/org/bukkit/command/defaults/SetIdleTimeoutCommand,True,True,True,True,False,False,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/SetWorldSpawnCommand,True,True,True,True,True,False,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/SpawnpointCommand,True,True,False,True,False,False,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/SpreadPlayersCommand,True,False,False,False,True,False,True,True,False
Bukkit/eclipse/org/bukkit/command/defaults/StopCommand,True,True,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/TeleportCommand,True,False,True,True,True,False,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/TellCommand,True,True,True,True,True,True,True,False,True
Bukkit/eclipse/org/bukkit/command/defaults/TestForCommand,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/command/defaults/TimeCommand,True,True,True,True,True,False,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/TimingsCommand,True,False,True,True,False,False,False,False,False
Bukkit/eclipse/org/bukkit/command/defaults/ToggleDownfallCommand,True,True,True,True,True,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/VanillaCommand,True,True,True,True,False,True,True,True,True
Bukkit/eclipse/org/bukkit/command/defaults/VersionCommand,True,True,True,True,False,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/WeatherCommand,True,True,True,True,False,True,True,False,False
Bukkit/eclipse/org/bukkit/command/defaults/WhitelistCommand,True,True,True,True,False,True,True,False,False
Bukkit/eclipse/org/bukkit/configuration/Configuration,True,False,False,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/configuration/ConfigurationOptions,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/configuration/ConfigurationSection,True,False,False,True,True,True,False,False,False
Bukkit/eclipse/org/bukkit/configuration/InvalidConfigurationException,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/configuration/MemoryConfiguration,True,False,True,False,False,True,True,False,True
Bukkit/eclipse/org/bukkit/configuration/MemoryConfigurationOptions,True,False,True,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/configuration/MemorySection,False,False,False,False,False,False,True,False,False
Bukkit/eclipse/org/bukkit/configuration/file/FileConfiguration,True,False,True,False,False,True,False,False,True
Bukkit/eclipse/org/bukkit/configuration/file/FileConfigurationOptions,True,False,True,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/configuration/file/YamlConfiguration,True,False,True,True,False,False,False,False,True
Bukkit/eclipse/org/bukkit/configuration/file/YamlConfigurationOptions,True,False,True,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/configuration/file/YamlConstructor,False,False,False,False,False,False,False,False,False
Bukkit/eclipse/org/bukkit/configuration/file/YamlRepresenter,False,False,False,False,False,False,False,False,False
